Time_index,Hourly_USD_per_MWh
4344,43.2
4345,41.42
4346,39.86
4347,39.8
4348,39.77
4349,40.09
4350,41.33
4351,43.67
4352,45.17
4353,59.5
4354,69.42
4355,113.38
4356,119.25
4357,123.96
4358,135.44
4359,140.71
4360,140.69
4361,131.18
4362,114.92
4363,78.54
4364,79.89
4365,80.41
4366,62.66
4367,44.22
4368,41.56
4369,39.73
4370,32.6
4371,29.55
4372,29.08
4373,31.88
4374,39.68
4375,41
4376,42.92
4377,47.96
4378,64.48
4379,74.08
4380,78.89
4381,89.16
4382,98.69
4383,103.46
4384,108.18
4385,98.43
4386,80.08
4387,64.46
4388,66.17
4389,63.27
4390,45.91
4391,42.39
4392,39.77
4393,31.95
4394,28.41
4395,27.93
4396,27.94
4397,30.83
4398,35.04
4399,40.36
4400,42.56
4401,46.37
4402,53.78
4403,63.26
4404,67.76
4405,74.85
4406,81.91
4407,93.17
4408,107.93
4409,87.86
4410,69.42
4411,55.13
4412,53.59
4413,50.04
4414,43.64
4415,41.64
4416,38.47
4417,32.71
4418,29.71
4419,27.39
4420,26.75
4421,26.03
4422,28.6
4423,34.03
4424,39.47
4425,43.56
4426,48.23
4427,54.61
4428,60.25
4429,64.85
4430,65.95
4431,73.22
4432,77.34
4433,72.05
4434,62.27
4435,56.6
4436,55.85
4437,53.32
4438,46.04
4439,41.56
4440,42.55
4441,35.73
4442,31.55
4443,26.94
4444,27.88
4445,30.71
4446,35.15
4447,42.16
4448,44.26
4449,50.06
4450,58.11
4451,98.51
4452,116.28
4453,120.84
4454,128.14
4455,133.25
4456,138.58
4457,122.08
4458,88.63
4459,72.03
4460,61.49
4461,57.67
4462,48.03
4463,43.81
4464,44.28
4465,42.11
4466,33.18
4467,31.65
4468,31.23
4469,28.82
4470,29.65
4471,38.64
4472,44.21
4473,46.05
4474,51.21
4475,66.33
4476,83.52
4477,98.79
4478,122.24
4479,122.9
4480,123.04
4481,118.65
4482,86.96
4483,59.33
4484,54.42
4485,53.26
4486,47.68
4487,45.89
4488,48.73
4489,46.52
4490,41.76
4491,35.95
4492,35.33
4493,32.98
4494,25.41
4495,38.87
4496,46.62
4497,48.93
4498,55.52
4499,80.01
4500,85.81
4501,117.63
4502,120.83
4503,124.21
4504,124.5
4505,125.5
4506,95.83
4507,70.69
4508,63.76
4509,60.98
4510,51.64
4511,48.73
4512,49.99
4513,46.36
4514,44.01
4515,41.3
4516,42.79
4517,47.45
4518,49.03
4519,54.06
4520,60.55
4521,84.76
4522,122.45
4523,118.11
4524,123.42
4525,129.12
4526,140.67
4527,151.64
4528,141.37
4529,130.13
4530,112.17
4531,87.43
4532,108.82
4533,92.11
4534,61.98
4535,53.58
4536,45.37
4537,39.13
4538,37.49
4539,36.45
4540,36.81
4541,36.35
4542,37.82
4543,45.17
4544,48.26
4545,52.99
4546,64.92
4547,89.04
4548,93.24
4549,124.31
4550,138.3
4551,148.3
4552,158.01
4553,139.67
4554,123.23
4555,80.64
4556,73.54
4557,59.52
4558,51.27
4559,47.53
4560,47.48
4561,42.96
4562,36.83
4563,33.85
4564,34.88
4565,36.18
4566,43.59
4567,48.34
4568,50.62
4569,56.01
4570,93.55
4571,118.87
4572,126.12
4573,138.05
4574,156.69
4575,169.15
4576,187.18
4577,167.63
4578,135.43
4579,115.85
4580,95.04
4581,88.09
4582,55.55
4583,50.51
4584,44.09
4585,36.6
4586,31.9
4587,30.38
4588,30.44
4589,32.92
4590,39.96
4591,46.74
4592,47.64
4593,50.13
4594,61.47
4595,71.02
4596,75
4597,97.06
4598,116.99
4599,121.47
4600,135.45
4601,124.8
4602,90.44
4603,66.99
4604,72.24
4605,56.04
4606,48.61
4607,45.44
4608,37.72
4609,31.93
4610,28.41
4611,26.96
4612,26.18
4613,27.99
4614,32.93
4615,37.48
4616,42.65
4617,42.87
4618,47.72
4619,49.59
4620,53.8
4621,55.82
4622,55.83
4623,59.35
4624,61.12
4625,57.57
4626,51.04
4627,47.1
4628,45.82
4629,50.38
4630,44.09
4631,36.72
4632,32.03
4633,28.47
4634,26.37
4635,23.88
4636,23.02
4637,22.08
4638,22.92
4639,26.91
4640,30.75
4641,39.02
4642,43.26
4643,44.47
4644,45.35
4645,47.57
4646,48.15
4647,48.45
4648,49.75
4649,50.89
4650,46.56
4651,44.5
4652,44.23
4653,44.28
4654,42.73
4655,40.98
4656,36.35
4657,31.41
4658,28.02
4659,25.81
4660,24
4661,23.06
4662,23.95
4663,28.55
4664,36.88
4665,42.88
4666,45.81
4667,52.22
4668,57.65
4669,63.05
4670,80.48
4671,94.9
4672,107.83
4673,109.87
4674,70.73
4675,61.25
4676,57.32
4677,55.16
4678,47.63
4679,43.08
4680,41.55
4681,37.56
4682,34.44
4683,31.48
4684,31.78
4685,36.08
4686,40.83
4687,46.85
4688,52.31
4689,65.16
4690,123.06
4691,158.5
4692,174.58
4693,262.87
4694,265.54
4695,270.94
4696,270.94
4697,264.22
4698,220.68
4699,146.44
4700,121.4
4701,118.77
4702,97.92
4703,53.69
4704,48.5
4705,46.19
4706,45.14
4707,42.28
4708,41.03
4709,42.49
4710,44.52
4711,50.3
4712,54.61
4713,69.65
4714,120.21
4715,149.48
4716,210.35
4717,265.54
4718,276.34
4719,276.34
4720,276.34
4721,270.94
4722,256.53
4723,148.74
4724,123.83
4725,119.99
4726,74.8
4727,55.89
4728,64.04
4729,59.94
4730,57.06
4731,51.58
4732,52.86
4733,55.92
4734,59.84
4735,64.8
4736,68.14
4737,85.9
4738,123.61
4739,150.96
4740,246.35
4741,296.8
4742,310.52
4743,295.29
4744,295.29
4745,295.29
4746,267.58
4747,155.73
4748,130.68
4749,126.05
4750,88.46
4751,69.24
4752,59.71
4753,56.13
4754,52.3
4755,46.34
4756,44.67
4757,45.97
4758,55.83
4759,60.78
4760,70.31
4761,99.77
4762,135.8
4763,158.33
4764,234.95
4765,315.63
4766,321.63
4767,334.29
4768,327.49
4769,321.5
4770,270.94
4771,184.44
4772,156.17
4773,130.34
4774,115.63
4775,65.97
4776,57.36
4777,53.94
4778,52.16
4779,44.98
4780,43.35
4781,42.98
4782,52.19
4783,55.73
4784,67.25
4785,96.7
4786,148.1
4787,197.48
4788,247.23
4789,276.34
4790,296.82
4791,322.91
4792,326.18
4793,298.09
4794,265.54
4795,172.98
4796,153.41
4797,139.3
4798,118.48
4799,62.48
4800,57.48
4801,52.46
